nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[442, 1273]",308,1899,185,0,1062,55.92417061611374,0:00:22.684580
1,2,0.1,2,"[171, 1787]",310,1899,186,0,1064,56.02948920484465,0:00:22.684580
1,2,0.1,2,"[1498, 1123]",312,1899,187,0,1065,56.08214849921011,0:00:22.684580
1,2,0.1,2,"[1448, 1533]",314,1899,188,0,1067,56.18746708794102,0:00:22.684580
1,2,0.1,2,"[876, 959]",316,1899,189,0,1069,56.29278567667193,0:00:22.684580
1,2,0.1,2,"[1240, 1549]",318,1899,190,0,1071,56.39810426540285,0:00:22.684580
1,2,0.1,2,"[979, 1170]",320,1899,191,0,1073,56.50342285413375,0:00:22.684580
1,2,0.1,2,"[1495, 1469]",322,1899,192,0,1075,56.60874144286466,0:00:22.684580
1,2,0.1,2,"[1890, 1684]",324,1899,193,0,1077,56.71406003159558,0:00:22.684580
1,2,0.1,2,"[647, 786]",326,1899,194,0,1078,56.766719325961034,0:00:22.684580
1,2,0.1,2,"[1736, 1024]",328,1899,195,0,1080,56.872037914691944,0:00:22.684580
1,2,0.1,2,"[828, 578]",330,1899,196,0,1081,56.9246972090574,0:00:22.684580
1,2,0.1,2,"[1754, 1721]",332,1899,197,0,1083,57.030015797788316,0:00:22.684580
1,2,0.1,2,"[213, 268]",334,1899,198,0,1085,57.13533438651922,0:00:22.684580
1,2,0.1,2,"[742, 1536]",336,1899,199,0,1086,57.187993680884674,0:00:22.684580
1,2,0.1,2,"[763, 775]",338,1899,200,0,1087,57.24065297525013,0:00:22.684580
1,2,0.1,2,"[1389, 1853]",340,1899,201,0,1089,57.345971563981045,0:00:22.684580
1,2,0.1,2,"[1782, 1614]",342,1899,202,0,1091,57.451290152711955,0:00:22.684580
1,2,0.1,2,"[589, 485]",344,1899,203,0,1093,57.55660874144286,0:00:22.684580
1,2,0.1,2,"[1435, 661]",346,1899,204,0,1095,57.66192733017378,0:00:22.684580
1,2,0.1,2,"[1446, 231]",348,1899,205,0,1097,57.767245918904685,0:00:22.684580
1,2,0.1,2,"[1486, 246]",350,1899,206,0,1099,57.872564507635595,0:00:22.684580
1,2,0.1,2,"[1854, 1778]",352,1899,207,0,1101,57.97788309636651,0:00:22.684580
1,2,0.1,2,"[1830, 722]",354,1899,208,0,1103,58.08320168509742,0:00:22.684580
1,2,0.1,2,"[1544, 827]",356,1899,209,0,1105,58.188520273828324,0:00:22.684580
1,2,0.1,2,"[1245, 1405]",358,1899,210,0,1106,58.24117956819379,0:00:22.684580
1,2,0.1,2,"[1532, 1654]",360,1899,211,0,1108,58.346498156924696,0:00:22.684580
1,2,0.1,2,"[1833, 1734]",362,1899,212,0,1110,58.451816745655606,0:00:22.684580
1,2,0.1,2,"[1094, 1368]",364,1899,213,0,1112,58.55713533438652,0:00:22.684580
1,2,0.1,2,"[1847, 1437]",366,1899,214,0,1113,58.60979462875198,0:00:22.684580
1,2,0.1,2,"[1243, 1201]",368,1899,215,0,1115,58.71511321748288,0:00:22.684580
1,2,0.1,2,"[1740, 1531]",370,1899,216,0,1117,58.820431806213804,0:00:22.684580
1,2,0.1,2,"[1057, 1883]",372,1899,217,0,1119,58.92575039494471,0:00:22.684580
1,2,0.1,2,"[261, 956]",374,1899,218,0,1120,58.97840968931016,0:00:22.684580
1,2,0.1,2,"[1126, 205]",376,1899,219,0,1121,59.03106898367562,0:00:22.684580
1,2,0.1,2,"[486, 1250]",378,1899,220,0,1123,59.136387572406534,0:00:22.684580
1,2,0.1,2,"[877, 1361]",380,1899,221,0,1124,59.18904686677199,0:00:22.684580
1,2,0.1,2,"[1166, 1140]",382,1899,222,0,1126,59.2943654555029,0:00:22.684580
1,2,0.1,2,"[1841, 1275]",384,1899,223,0,1127,59.347024749868346,0:00:22.684580
1,2,0.1,2,"[1590, 1896]",386,1899,224,0,1129,59.45234333859927,0:00:22.684580
1,2,0.1,2,"[1425, 628]",388,1899,225,0,1130,59.50500263296472,0:00:22.684580
1,2,0.1,2,"[471, 1725]",390,1899,226,0,1132,59.61032122169563,0:00:22.684580
1,2,0.1,2,"[531, 390]",392,1899,227,0,1134,59.71563981042654,0:00:22.684580
